iso3c,year,Ratio.RMC.to.market.XR,country,military_spending,type,military_spending_PPP,change_nominal,change_nominal_percent,change_PPP,change_PPP_percent,nato
HUN,1949,NA,Hungary,NA,Current USD (m),NA,NA,NA,NA,NA,TRUE
HUN,1949,NA,Hungary,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,TRUE
IDN,1949,NA,Indonesia,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
IDN,1949,NA,Indonesia,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
IND,1949,NA,India,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
IND,1949,NA,India,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
IRL,1949,NA,Ireland,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
IRL,1949,NA,Ireland,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
IRN,1949,NA,Iran,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
IRN,1949,NA,Iran,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
IRQ,1949,NA,Iraq,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
IRQ,1949,NA,Iraq,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
ISL,1949,NA,Iceland,NA,Current USD (m),NA,NA,NA,NA,NA,TRUE
ISL,1949,NA,Iceland,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,TRUE
ISR,1949,NA,Israel,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
ISR,1949,NA,Israel,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
ITA,1949,NA,Italy,467.2343005806193,Current USD (m),NA,NA,NA,NA,NA,TRUE
ITA,1949,NA,Italy,6004.987445108974,Constant 2021 USD (m),NA,NA,NA,NA,NA,TRUE
JAM,1949,NA,Jamaica,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
JAM,1949,NA,Jamaica,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
JOR,1949,NA,Jordan,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
JOR,1949,NA,Jordan,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
JPN,1949,NA,Japan,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
JPN,1949,NA,Japan,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
KAZ,1949,NA,Kazakhstan,NA,Current USD (m),NA,NA,NA,NA,NA,FALSE
KAZ,1949,NA,Kazakhstan,NA,Constant 2021 USD (m),NA,NA,NA,NA,NA,FALSE
