year,iso3c,neighbors
1972,PAK,"RUS, IRN, AFG, CHN, IND"
1972,BGD,"IND, MMR, NPL"
1972,MMR,"CHN, IND, BGD, THA, LAO"
1972,LKA,IND
1972,MDV,
1972,NPL,"CHN, IND, BGD"
1972,THA,"MMR, KHM, LAO, MYS"
1972,KHM,"THA, LAO, VNM"
1972,LAO,"CHN, MMR, THA, KHM, VNM"
1972,VNM,"KHM, LAO"
1972,MYS,"THA, SGP, IDN"
1972,SGP,"MYS, IDN"
1972,PHL,
1972,IDN,"MYS, SGP"
1972,AUS,
1972,NZL,
1972,FJI,
1973,USA,"CAN, MEX"
1973,CAN,USA
1973,CUB,
1973,HTI,DOM
1973,DOM,HTI
1973,JAM,
1973,TTO,VEN
1973,BRB,
1973,MEX,"USA, GTM"
1973,GTM,"MEX, HND, SLV"
1973,HND,"GTM, SLV, NIC"
1973,SLV,"GTM, HND, NIC"
1973,NIC,"HND, SLV, CRI"
1973,CRI,"NIC, PAN"
1973,PAN,"CRI, COL"
1973,COL,"PAN, VEN, ECU, PER, BRA"
1973,VEN,"TTO, COL, GUY, BRA"
1973,GUY,"VEN, BRA"
1973,ECU,"COL, PER"
1973,PER,"COL, ECU, BRA, BOL, CHL"
1973,BRA,"COL, VEN, GUY, PER, BOL, PRY, ARG, URY"
1973,BOL,"PER, BRA, PRY, CHL, ARG"
1973,PRY,"BRA, BOL, ARG"
1973,CHL,"PER, BOL, ARG"
1973,ARG,"BRA, BOL, PRY, CHL, URY"
1973,URY,"BRA, ARG"
1973,GBR,IRL
1973,IRL,GBR
1973,NLD,"BEL, DEU"
1973,BEL,"NLD, LUX, FRA, DEU"
1973,LUX,"BEL, FRA, DEU"
1973,FRA,"BEL, LUX, CHE, ESP, DEU, ITA"
1973,CHE,"FRA, DEU, AUT, ITA"
1973,ESP,"FRA, PRT, MAR"
1973,PRT,ESP
1973,DEU,"NLD, BEL, LUX, FRA, CHE, AUT, DNK"
1973,POL,RUS
1973,AUT,"CHE, DEU, HUN, ITA"
1973,HUN,"AUT, ROU, RUS"
1973,ITA,"FRA, CHE, AUT"
1973,MLT,
1973,ALB,GRC
1973,GRC,"ALB, BGR, TUR"
1973,CYP,
1973,BGR,"GRC, ROU, TUR"
1973,ROU,"HUN, BGR, RUS"
1973,RUS,"POL, HUN, ROU, FIN, NOR, IRN, TUR, AFG, CHN, MNG, PRK, PAK"
1973,FIN,"RUS, SWE, NOR"
1973,SWE,"FIN, NOR, DNK"
1973,NOR,"RUS, FIN, SWE"
1973,DNK,"DEU, SWE"
1973,ISL,
1973,GNQ,"CMR, GAB"
1973,GMB,SEN
1973,MLI,"SEN, MRT, NER, CIV, GIN, BFA, DZA"
1973,SEN,"GMB, MLI, MRT, GIN"
1973,BEN,"NER, BFA, GHA, TGO, NGA"
1973,MRT,"MLI, SEN, MAR, DZA"
1973,NER,"MLI, BEN, BFA, NGA, TCD, DZA, LBY"
1973,CIV,"MLI, GIN, BFA, LBR, GHA"
1973,GIN,"MLI, SEN, CIV, LBR, SLE"
1973,BFA,"MLI, BEN, NER, CIV, GHA, TGO"
1973,LBR,"CIV, GIN, SLE"
1973,SLE,"GIN, LBR"
1973,GHA,"BEN, CIV, BFA, TGO"
1973,TGO,"BEN, BFA, GHA"
1973,CMR,"GNQ, NGA, GAB, CAF, TCD, COG"
1973,NGA,"BEN, NER, CMR, TCD"
1973,GAB,"GNQ, CMR, COG"
1973,CAF,"CMR, TCD, COG, COD, SDN"
1973,TCD,"NER, CMR, NGA, CAF, LBY, SDN"
1973,COG,"CMR, GAB, CAF, COD"
1973,COD,"CAF, COG, UGA, TZA, BDI, RWA, ZMB, SDN"
1973,UGA,"COD, KEN, TZA, RWA, SDN"
1973,KEN,"UGA, TZA, SOM, ETH, SDN"
1973,TZA,"COD, UGA, KEN, BDI, RWA, ZMB, MWI"
1973,BDI,"COD, TZA, RWA"
1973,RWA,"COD, UGA, TZA, BDI"
1973,SOM,"KEN, ETH"
1973,ETH,"KEN, SOM, SDN"
1973,ZMB,"COD, TZA, ZWE, MWI, BWA"
1973,ZWE,"ZMB, ZAF, BWA"
1973,MWI,"TZA, ZMB"
